INIT;STARTED;2022-10-09_17:03:12.384;
2022-10-09_17:07:01.566;47.207562337162365;18.378125218633606;
2022-10-09_17:07:02.564;47.20761710551012;18.37793818435345;
2022-10-09_17:07:03.572;47.207670680857355;18.377762485407448;
2022-10-09_17:07:04.565;47.20772569995221;18.377588110952683;
2022-10-09_17:07:05.571;47.20777892124526;18.377402927450508;
2022-10-09_17:07:06.566;47.20783610546758;18.377214061442505;
2022-10-09_17:07:07.561;47.20788750147387;18.37702175105015;
2022-10-09_17:07:08.565;47.207936129584766;18.376817520682614;
2022-10-09_17:07:09.571;47.20798309521159;18.37661366824578;
2022-10-09_17:07:10.564;47.20802626392397;18.376417300665622;
2022-10-09_17:07:11.571;47.20806949200109;18.376226398831175;
2022-10-09_17:07:12.566;47.20811308791367;18.376038244899167;
2022-10-09_17:07:13.571;47.208156602457336;18.375850946705956;
2022-10-09_17:07:14.562;47.208199072744065;18.375666766729836;
2022-10-09_17:07:15.576;47.20824403600562;18.375476873773042;
2022-10-09_17:07:16.563;47.208287124695026;18.375286245340998;
2022-10-09_17:07:17.564;47.20832769214686;18.375096178328633;
2022-10-09_17:07:18.561;47.208366480448085;18.374911788196943;
2022-10-09_17:07:19.562;47.2084054346997;18.37473046496716;
2022-10-09_17:07:20.565;47.20844307659145;18.374540760690202;
2022-10-09_17:07:21.558;47.208480233061366;18.374346758114154;
2022-10-09_17:07:22.565;47.208516371166965;18.37415368320343;
2022-10-09_17:07:23.564;47.20855386112257;18.37395241724551;
2022-10-09_17:07:24.565;47.20859256948155;18.373753088814528;
2022-10-09_17:07:25.553;47.208632640789986;18.3735580642537;
2022-10-09_17:07:26.564;47.20867413998342;18.373360028081997;
2022-10-09_17:07:27.566;47.20871793547397;18.37316079401325;
2022-10-09_17:07:28.566;47.20875974741321;18.37295990149123;
2022-10-09_17:07:29.563;47.2088001931668;18.37275590208898;
2022-10-09_17:07:30.572;47.20884236836428;18.37255443307695;
2022-10-09_17:07:31.564;47.208884816082126;18.37235226711358;
2022-10-09_17:07:32.564;47.2089268166229;18.37214949930569;
2022-10-09_17:07:33.560;47.20896780260296;18.371942346561667;
2022-10-09_17:07:34.565;47.20900773378364;18.371735116531582;
2022-10-09_17:07:35.566;47.20904792661433;18.371534996662966;
2022-10-09_17:07:36.566;47.209088512825765;18.371338093176522;
2022-10-09_17:07:37.565;47.20913083657955;18.371138037527803;
2022-10-09_17:07:38.564;47.20917311662086;18.370933542327986;
2022-10-09_17:07:39.565;47.20921458091856;18.370729921712527;
2022-10-09_17:07:40.561;47.209260094551645;18.37052818302637;
2022-10-09_17:07:41.563;47.209306348765;18.37033264339098;
2022-10-09_17:07:42.564;47.20935379373621;18.37013867738121;
2022-10-09_17:07:43.564;47.20940170077353;18.36994236563214;
2022-10-09_17:07:44.559;47.209448218733186;18.36974534905905;
2022-10-09_17:07:45.572;47.209495331459;18.369548597827176;
2022-10-09_17:07:46.568;47.209541911037945;18.369349559979526;
2022-10-09_17:07:47.567;47.209589338866365;18.369147516207608;
2022-10-09_17:07:48.563;47.20963521428549;18.36894238390915;
2022-10-09_17:07:49.567;47.209680115379086;18.368738683887056;
2022-10-09_17:07:50.564;47.20972386494756;18.368540843014316;
2022-10-09_17:07:51.556;47.209765978017494;18.36834907450914;
2022-10-09_17:07:52.566;47.209810417138684;18.368154378095298;
2022-10-09_17:07:53.567;47.20985237089505;18.367954597945925;
2022-10-09_17:07:54.563;47.209892303793026;18.367761124756587;
2022-10-09_17:07:55.573;47.2099372303605;18.367574825192204;
2022-10-09_17:07:56.567;47.209985888436144;18.367386283363466;
2022-10-09_17:07:57.558;47.21003159224174;18.367191420481056;
2022-10-09_17:07:58.567;47.21007442979846;18.366995037166003;
2022-10-09_17:07:59.559;47.21011767929665;18.366794659457494;
2022-10-09_17:08:00.565;47.21016313229268;18.366590084373954;
2022-10-09_17:08:01.566;47.21020977159979;18.3663847335481;
2022-10-09_17:08:02.559;47.21025740010983;18.366177252462457;
2022-10-09_17:08:03.563;47.210306614705935;18.36597284595315;
2022-10-09_17:08:04.561;47.21035425854711;18.365768631283032;
2022-10-09_17:08:05.561;47.21039910538833;18.365560366845596;
2022-10-09_17:08:06.564;47.210445625123725;18.36535480612542;
2022-10-09_17:08:07.565;47.21049337103094;18.365142752756938;
2022-10-09_17:08:08.564;47.21053836007777;18.364931179620893;
2022-10-09_17:08:09.558;47.21058635358149;18.364719198570278;
2022-10-09_17:08:10.562;47.2106335361244;18.364512532434023;
2022-10-09_17:08:11.571;47.21068149921822;18.36430387246299;
2022-10-09_17:08:12.569;47.21073040482584;18.364091067611206;
2022-10-09_17:08:13.566;47.210779968959194;18.363870301064217;
2022-10-09_17:08:14.564;47.210828573031016;18.363645074864472;
2022-10-09_17:08:15.565;47.21087610863897;18.363417244234647;
2022-10-09_17:08:16.564;47.210925675400134;18.363187450754648;
2022-10-09_17:08:17.571;47.21097673070182;18.36295287527148;
2022-10-09_17:08:18.563;47.211025772072055;18.362728818371487;
2022-10-09_17:08:19.570;47.21107533562053;18.362513657310547;
2022-10-09_17:08:20.570;47.211122352725155;18.36229966535281;
2022-10-09_17:08:21.568;47.21116731117934;18.3620861448032;
2022-10-09_17:08:22.561;47.21121251312921;18.36187371924377;
2022-10-09_17:08:23.558;47.21125644718518;18.36166174747626;
2022-10-09_17:08:24.565;47.21130196568866;18.361459972668985;
2022-10-09_17:08:25.568;47.2113477122645;18.36126220778897;
2022-10-09_17:08:26.562;47.21139309549537;18.361065041072077;
2022-10-09_17:08:27.563;47.21143855488373;18.360872442263837;
2022-10-09_17:08:28.562;47.211481286649715;18.36068959614292;
2022-10-09_17:08:29.568;47.211525392766504;18.360503432595383;
2022-10-09_17:08:30.564;47.211569750193114;18.360319938806303;
2022-10-09_17:08:31.565;47.21161240233453;18.360138172869814;
2022-10-09_17:08:32.565;47.21165493043582;18.35996547390493;
2022-10-09_17:08:33.564;47.21169052283456;18.35980756785226;
2022-10-09_17:08:34.562;47.21172208746818;18.35967061090788;
2022-10-09_17:08:35.559;47.21174893816562;18.359548285161726;
2022-10-09_17:08:36.565;47.211772393095565;18.359439644261172;
2022-10-09_17:08:37.564;47.21179474491031;18.359348142804336;
2022-10-09_17:08:38.561;47.21181256916113;18.359262387931537;
2022-10-09_17:08:39.560;47.21182999499072;18.359192019634076;
2022-10-09_17:08:40.563;47.211845877440965;18.359128688321288;
2022-10-09_17:08:41.568;47.2118613696566;18.359063348565495;
2022-10-09_17:08:42.559;47.21187907764916;18.358991547625617;
2022-10-09_17:08:43.560;47.21189578792545;18.358920294819335;
2022-10-09_17:08:44.560;47.211911624503806;18.35885039322181;
2022-10-09_17:08:45.563;47.21192839501258;18.358768248136986;
2022-10-09_17:08:46.563;47.21194831331658;18.358675501146198;
2022-10-09_17:08:47.566;47.21196656362906;18.35857910608843;
2022-10-09_17:08:48.564;47.21198553772323;18.358483648063636;
2022-10-09_17:08:49.568;47.212005977410215;18.358386347666123;
2022-10-09_17:08:50.563;47.212027156410315;18.358278862804937;
2022-10-09_17:08:51.563;47.21205537933711;18.358151703899022;
2022-10-09_17:08:52.568;47.21207945616746;18.35802919917113;
2022-10-09_17:08:53.559;47.212109594932734;18.357896368662722;
2022-10-09_17:08:54.571;47.21214058044697;18.357757552002553;
2022-10-09_17:08:55.564;47.21217169412657;18.357605826584628;
2022-10-09_17:08:56.561;47.21220551156537;18.35745105587264;
2022-10-09_17:08:57.564;47.21223902528905;18.35729006862029;
2022-10-09_17:08:58.562;47.21227298470088;18.357129114171762;
2022-10-09_17:08:59.570;47.212306537361286;18.356966629215957;
2022-10-09_17:09:00.566;47.21233856874755;18.35679723178012;
2022-10-09_17:09:01.566;47.212374610156004;18.356622430594708;
2022-10-09_17:09:02.559;47.21241543810609;18.35643549652473;
2022-10-09_17:09:03.564;47.212457803011375;18.356257784267857;
2022-10-09_17:09:04.565;47.21250157595898;18.356065081161788;
2022-10-09_17:09:05.566;47.21254398119404;18.35586621617696;
2022-10-09_17:09:06.564;47.212588195149394;18.355663038851215;
2022-10-09_17:09:07.567;47.21263673195274;18.355447378252986;
2022-10-09_17:09:08.567;47.21268568452344;18.355231659570965;
2022-10-09_17:09:09.583;47.212740555019884;18.354999273992547;
2022-10-09_17:09:10.568;47.21278524429271;18.354791409232682;
2022-10-09_17:09:11.563;47.21283253215777;18.354582047138017;
2022-10-09_17:09:12.562;47.21287716046618;18.354377884602116;
2022-10-09_17:09:13.565;47.212922457883366;18.354179638368343;
2022-10-09_17:09:14.567;47.21296975555509;18.35397200642285;
2022-10-09_17:09:15.570;47.21301742788953;18.353770021161765;
2022-10-09_17:09:16.560;47.213057466184544;18.35358257855485;
2022-10-09_17:09:17.568;47.21309825246817;18.353391206304426;
2022-10-09_17:09:18.564;47.21314623150665;18.353194225081893;
2022-10-09_17:09:19.569;47.21319269821479;18.35300124668373;
2022-10-09_17:09:20.563;47.21324180520371;18.352795440978223;
2022-10-09_17:09:21.553;47.21328262463227;18.352604249748754;
2022-10-09_17:09:22.563;47.21331951027445;18.352408415141245;
2022-10-09_17:09:23.564;47.213361313413195;18.35222680424646;
2022-10-09_17:09:24.561;47.213404497373205;18.35203563237467;
2022-10-09_17:09:25.571;47.21344867732024;18.3518303001592;
2022-10-09_17:09:26.566;47.213492378209054;18.351629850087594;
2022-10-09_17:09:27.551;47.21353944850809;18.351433572516143;
2022-10-09_17:09:28.564;47.21358856286708;18.35123542369718;
2022-10-09_17:09:29.573;47.21364322435728;18.351051376508824;
2022-10-09_17:09:30.568;47.21369453748759;18.350866269747478;
2022-10-09_17:09:31.559;47.21374641083557;18.350679335667003;
2022-10-09_17:09:32.560;47.21380004819406;18.350486613469947;
2022-10-09_17:09:33.567;47.213851512787194;18.350311418904226;
2022-10-09_17:09:34.562;47.21390603690488;18.350121248972364;
2022-10-09_17:09:35.567;47.213965110349925;18.3499304230212;
2022-10-09_17:09:36.567;47.21402863843186;18.34973687750191;
2022-10-09_17:09:37.566;47.21408744945515;18.349537357305447;
2022-10-09_17:09:38.563;47.21415172020796;18.349330253445487;
2022-10-09_17:09:39.565;47.21421716143034;18.349120264877676;
2022-10-09_17:09:40.564;47.214278068263816;18.348917653121596;
2022-10-09_17:09:41.566;47.21434412382819;18.34871687125698;
2022-10-09_17:09:42.562;47.21440930130573;18.348520810950763;
2022-10-09_17:09:43.562;47.21447237762795;18.34833258525215;
2022-10-09_17:09:44.564;47.2145337495892;18.34814565084541;
2022-10-09_17:09:45.561;47.21459646136418;18.347942802258842;
2022-10-09_17:09:46.561;47.21466085967518;18.34773158151488;
2022-10-09_17:09:47.564;47.214726693486924;18.347513022693335;
2022-10-09_17:09:48.564;47.21479412352701;18.347297885260197;
2022-10-09_17:09:49.565;47.21486303476732;18.347085818908628;
2022-10-09_17:09:50.565;47.214932698837906;18.346866169302967;
2022-10-09_17:09:51.575;47.215003438754756;18.34663919982101;
2022-10-09_17:09:52.562;47.21507595265733;18.346407062877603;
2022-10-09_17:09:53.564;47.215148614378016;18.34617648616024;
2022-10-09_17:09:54.563;47.21522145947259;18.345935228833905;
2022-10-09_17:09:55.564;47.21529292735355;18.345695147658105;
2022-10-09_17:09:56.560;47.215363249789995;18.345457379156155;
2022-10-09_17:09:57.563;47.21543670781191;18.34520749923505;
2022-10-09_17:09:58.565;47.2155078384911;18.3449756844943;
2022-10-09_17:09:59.555;47.215581445466086;18.34473115846353;
2022-10-09_17:10:00.563;47.21565848679004;18.344491753276845;
2022-10-09_17:10:01.565;47.2157345436898;18.34424263007569;
2022-10-09_17:10:02.560;47.2158132712074;18.344004232886288;
2022-10-09_17:10:03.560;47.215888012378244;18.343760414572614;
2022-10-09_17:10:04.561;47.215959980383246;18.34352811563443;
2022-10-09_17:10:05.561;47.21603758429904;18.343293583398612;
2022-10-09_17:10:06.563;47.21610762455901;18.34305847388803;
2022-10-09_17:10:07.568;47.216179537880784;18.34281594755764;
2022-10-09_17:10:08.561;47.2162579604264;18.342568634928156;
2022-10-09_17:10:09.561;47.21631400406577;18.34232147320821;
2022-10-09_17:10:10.563;47.216364150855206;18.342065308550694;
2022-10-09_17:10:11.560;47.21640496488381;18.341811233794896;
2022-10-09_17:10:12.562;47.21645122420445;18.3415578660723;
2022-10-09_17:10:13.560;47.21648154695683;18.341307390289927;
2022-10-09_17:10:14.566;47.21650654021713;18.341049919403634;
2022-10-09_17:10:15.567;47.21652622964833;18.340778889013656;
2022-10-09_17:10:16.564;47.2165362319969;18.34050259908774;
2022-10-09_17:10:17.559;47.21654094166727;18.340236740268203;
2022-10-09_17:10:18.566;47.21654150907395;18.33997007007173;
2022-10-09_17:10:19.562;47.21653476343379;18.339705171650298;
2022-10-09_17:10:20.564;47.21652924251901;18.339443380781443;
2022-10-09_17:10:21.565;47.21652395757984;18.339183059562007;
2022-10-09_17:10:22.563;47.21651385592799;18.338922713343447;
2022-10-09_17:10:23.564;47.21650472192529;18.33865319746871;
2022-10-09_17:10:24.569;47.21648874129202;18.33839317801603;
